,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
0,49,University of Toronto,University of Toronto,24,https://www.shanghairanking.com/institution/university-of-toronto
1,68,New York University,York University,28,https://www.shanghairanking.com/institution/new-york-university
2,62,Northwestern University,Western University,30,https://www.shanghairanking.com/institution/northwestern-university
3,100,University of British Columbia,The University of British Columbia,44,https://www.shanghairanking.com/institution/university-of-british-columbia
4,65,King's College London,King's College,59,https://www.shanghairanking.com/institution/kings-college-london
5,19,McGill University,McGill University,70,https://www.shanghairanking.com/institution/mcgill-university
6,90,University of Alberta,University of Alberta,91,https://www.shanghairanking.com/institution/university-of-alberta
7,43,McMaster University,McMaster University,98,https://www.shanghairanking.com/institution/mcmaster-university
8,20,Université de Montréal,Université de Montréal,151-200,https://www.shanghairanking.com/institution/university-of-montreal
9,58,University of Waterloo,University of Waterloo,151-200,https://www.shanghairanking.com/institution/university-of-waterloo
10,47,Queen's University,Queen's University,201-300,https://www.shanghairanking.com/institution/queens-university
11,92,The University of Calgary,University of Calgary,201-300,https://www.shanghairanking.com/institution/the-university-of-calgary
12,78,University of Manitoba,University of Manitoba,201-300,https://www.shanghairanking.com/institution/university-of-manitoba
13,45,University of Ottawa,University of Ottawa,201-300,https://www.shanghairanking.com/institution/university-of-ottawa
14,7,Dalhousie University,Dalhousie University,301-400,https://www.shanghairanking.com/institution/dalhousie-university
15,47,Queen's University Belfast,Queen's University,301-400,https://www.shanghairanking.com/institution/queens-university-belfast
16,103,Simon Fraser University,Simon Fraser University,301-400,https://www.shanghairanking.com/institution/simon-fraser-university
17,84,University of Saskatchewan,University of Saskatchewan,301-400,https://www.shanghairanking.com/institution/university-of-saskatchewan
18,104,University of Victoria,University of Victoria,301-400,https://www.shanghairanking.com/institution/university-of-victoria
19,62,Western University,Western University,301-400,https://www.shanghairanking.com/institution/western-university
20,53,Victoria University of Wellington,Victoria University,401-500,https://www.shanghairanking.com/institution/victoria-university-of-wellington
21,68,York University,York University,401-500,https://www.shanghairanking.com/institution/york-university
22,38,Carleton University,Carleton University,501-600,https://www.shanghairanking.com/institution/carleton-university
23,25,Concordia University,Concordia University,501-600,https://www.shanghairanking.com/institution/concordia-university
25,62,Southwestern University of Finance and Economics,Western University,501-600,https://www.shanghairanking.com/institution/southwestern-university-of-finance-and-economics
26,40,University of Guelph,University of Guelph,501-600,https://www.shanghairanking.com/institution/university-of-guelph
27,63,Brescia University,Brescia University College,601-700,https://www.shanghairanking.com/institution/brescia-university
28,1,Memorial University of Newfoundland,Memorial University of Newfoundland,701-800,https://www.shanghairanking.com/institution/memorial-university-of-newfoundland
29,57,Nottingham Trent University,Trent University,701-800,https://www.shanghairanking.com/institution/nottingham-trent-university
30,81,University of Regina,University of Regina,701-800,https://www.shanghairanking.com/institution/university-of-regina
