id_,university_name
201,Abilene Christian University
202,Abraham Baldwin Agricultural College
203,Academy of Art University
204,Adams State University
205,Adelphi University
206,Adrian College
207,AdventHealth University
208,Agnes Scott College
209,Alabama A&M University
210,Alabama State University
211,Alaska Pacific University
212,Albany College of Pharmacy and Health Sciences
213,Albany State University
214,Albertus Magnus College
215,Albion College
216,Albizu University
217,Albizu University--Miami
218,Albright College
219,Alcorn State University
220,Alderson Broaddus University
221,Alfred State College--SUNY
222,Alfred University
223,Alice Lloyd College
224,Allegheny College
225,Allen College
226,Allen University
227,Alliance University
228,Alliant International University
229,Alma College
230,Alpena Community College
231,Alvernia University
232,Alverno College
233,American Academy of Art
234,American College of Thessaloniki
235,American International College
236,American Samoa Community College
237,American University
238,American University in Bulgaria
239,American University in Cairo
240,American University of Beirut
241,American University of Health Sciences
242,American University of Paris
243,American University of Puerto Rico--Bayamon
244,American University of Puerto Rico--Manati
245,AmeriTech College-Draper
246,Amherst College
247,Anderson University
248,Anderson University (IN)
249,Andrew College
250,Andrews University
251,Angelo State University
252,Anna Maria College
253,Antelope Valley College
254,Antioch College
255,Appalachian Bible College
256,Appalachian State University
257,Aquinas College
258,Arcadia University
259,Arizona Christian University
260,Arizona College of Nursing--Las Vegas
261,Arizona College of Nursing--Tempe
262,Arizona State University
263,Arkansas Baptist College
264,Arkansas State University
265,Arkansas Tech University
266,Art Academy of Cincinnati
267,ArtCenter College of Design
268,Art Institute of Atlanta
269,Art Institute of Houston
270,Asbury University
271,Ashland University
272,Aspen University
273,Assumption University
274,Atenas College
275,Atlanta Metropolitan State College
276,Auburn University
277,Auburn University at Montgomery
278,Augsburg University
279,Augustana College
280,Augustana University
281,Augusta University
282,Aultman College of Nursing and Health Sciences
283,Aurora University
284,Austin College
285,Austin Community College District
286,Austin Peay State University
287,Ave Maria University
288,Averett University
289,Avila University
290,Azusa Pacific University
291,Babson College
292,Bacone College
293,Baker College
294,Bakersfield College
295,Baker University
296,Baldwin Wallace University
297,Ball State University
298,Baptist Bible College
299,Baptist College of Florida
300,Baptist Health Sciences University
301,Baptist Missionary Association Theological Seminary
302,Barclay College
303,Bard College
304,Bard College at Simon's Rock
305,Barnard College
306,Barry University
307,Barton College
308,Bates College
309,Bayamon Central University
310,Baylor University
311,Bay Path University
312,Bay State College
313,Beacon College
314,Belhaven University
315,Bellarmine University
316,Bellevue College
317,Bellevue University
318,Bellin College
319,Bellingham Technical College
320,Belmont Abbey College
321,Belmont University
322,Beloit College
323,Bemidji State University
324,Benedict College
325,Benedictine College
326,Benedictine University
327,Benjamin Franklin Institute of Technology
328,Bennett College
329,Bennington College
330,Bentley University
331,Berea College
332,Berkeley College (NJ)
333,Berkeley College (NY)
334,Berklee College of Music
335,Berry College
336,Bethany College (KS)
337,Bethany College (WV)
338,Bethany Lutheran College
339,Bethel College
340,Bethel University (IN)
341,Bethel University (MN)
342,Bethel University (TN)
343,Bethune-Cookman University
344,Binghamton University--SUNY
345,Biola University
346,Birmingham-Southern College
347,Bismarck State College
348,Blackburn College
349,Black Hills State University
350,Blessing-Rieman College of Nursing and Health Sciences
351,Bluefield State University
352,Bluefield University
353,Blue Mountain Christian University
354,Bluffton University
355,Bob Jones University
356,Boise State University
357,Bon Secours Memorial College of Nursing
358,Boricua College
359,Boston Architectural College
360,Boston College
361,Boston University
362,Bowdoin College
363,Bowie State University
364,Bowling Green State University
365,Bradley University
366,Brandeis University
367,Brazosport College
368,Brenau University
369,Brescia University
370,Brevard College
371,Brewton-Parker College
372,Briar Cliff University
373,Bridgewater College
374,Bridgewater State University
375,Brigham Young University
376,Brigham Young University--Hawaii
377,Brigham Young University--Idaho
378,Brookline College--Albuquerque
379,Brookline College-Phoenix
380,Broward College
381,Brown University
382,Bryan College
383,Bryan College of Health Sciences
384,Bryant & Stratton College--Wauwatosa
385,Bryant University
386,Bryn Athyn College of the New Church
387,Bryn Mawr College
388,Bucknell University
389,Buena Vista University
390,Bushnell University
391,Butler University
392,Cabarrus College of Health Sciences
393,Cairn University
394,Caldwell University
395,California Baptist University
396,California College of the Arts
397,California Institute of Technology
398,California Institute of the Arts
399,California Lutheran University
400,California Polytechnic State University -- Humboldt
401,California Polytechnic State University--San Luis Obispo
402,California State Polytechnic University--Pomona
403,California State University--Bakersfield
404,California State University--Channel Islands
405,California State University--Chico
406,California State University--Dominguez Hills
407,California State University--East Bay
408,"California State University, Fresno"
409,California State University--Fullerton
410,California State University--Long Beach
411,California State University--Los Angeles
412,California State University--Maritime Academy
413,California State University--Monterey Bay
414,California State University--Northridge
415,"California State University, Sacramento"
416,California State University--San Bernardino
417,"California State University, San Marcos"
418,California State University--Stanislaus
419,Calumet College of St. Joseph
420,Calvary University
421,Calvin University
422,Cambridge College
423,Cameron University
424,Campbellsville University
425,Campbell University
426,Canisius University
427,Capital University
428,Capitol Technology University
429,Caribbean University
430,Carleton College
431,Carlow University
432,Carnegie Mellon University
433,Carolinas College of Health Sciences
434,Carroll College
435,Carroll University
436,Carson-Newman University
437,Carthage College
438,Cascadia College
439,Case Western Reserve University
440,Castleton University
441,Catawba College
442,The Catholic University of America
443,Cedar Crest College
444,Cedarville University
445,CEM College--San Juan
446,Centenary College
447,Centenary University
448,Central Baptist College
449,Central Christian College of Kansas
450,Central College
451,Central Connecticut State University
452,Centralia College
453,Central Methodist University -- College of Liberal Arts and Sciences
454,Central Michigan University
455,Central Penn College
456,Central State University
457,Central Washington University
458,Centre College
459,Chadron State College
460,Chamberlain University
461,Chaminade University of Honolulu
462,Champlain College
463,Chapman University
464,Charles R. Drew University of Medicine and Science
465,Charleston Southern University
466,Chatham University
467,Chestnut Hill College
468,Cheyney University of Pennsylvania
469,Chicago School of Professional Psychology at Los Angeles
470,Chicago State University
471,Chipola College
472,Chowan University
473,Christ College of Nursing and Health Sciences
474,Christian Brothers University
475,Christopher Newport University
476,"The Citadel, The Military College of South Carolina"
477,Claflin University
478,Claremont McKenna College
479,Clark Atlanta University
480,Clark College
481,Clarke University
482,Clarkson College
483,Clarkson University
484,Clarks Summit University
485,Clark University
486,Clayton State University
487,Clear Creek Baptist Bible College
488,Cleary University
489,Clemson University
490,Cleveland Institute of Art
491,Cleveland Institute of Music
492,Cleveland State University
493,Cleveland University--Kansas City
494,Clover Park Technical College
495,Coastal Carolina University
496,Coe College
497,Coker University
498,Colby College
499,Colby-Sawyer College
500,Colegio Universitario de San Juan
501,Colgate University
502,College for Creative Studies
503,College of Biblical Studies--Houston
504,College of Central Florida
505,College of Charleston
506,College of Coastal Georgia
507,College of Idaho
508,College of Menominee Nation
509,College of Mount St. Vincent
510,The College of New Jersey
511,College of Saint Mary
512,The College of Saint Rose
513,College of Southern Nevada
514,College of St. Benedict
515,The College of St. Scholastica
516,College of the Atlantic
517,College of the Holy Cross
518,College of the Ozarks
519,The College of Westchester
520,The College of Wooster
521,Colorado Christian University
522,Colorado College
523,Colorado Mesa University
524,Colorado Mountain College
525,Colorado School of Mines
526,Colorado State University
527,Colorado State University--Pueblo
528,Colorado Technical University
529,Columbia Basin College
530,Columbia Central University--Caguas
531,Columbia College Chicago
532,Columbia College Hollywood
533,Columbia College (MO)
534,Columbia College (SC)
535,Columbia International University
536,Columbia University
