university_name,id_,rank,qs_uni_link
American University,237,791-800,https://www.topuniversities.com/universities/american-university
Arizona State University,262,179,https://www.topuniversities.com/universities/arizona-state-university
Auburn University,276,801-850,https://www.topuniversities.com/universities/auburn-university
Baylor University,310,1001-1200,https://www.topuniversities.com/universities/baylor-university
Boston College,360,631-640,https://www.topuniversities.com/universities/boston-college
Boston University,361,=93,https://www.topuniversities.com/universities/boston-university
Brandeis University,366,661-670,https://www.topuniversities.com/universities/brandeis-university
Brigham Young University,375,1001-1200,https://www.topuniversities.com/universities/brigham-young-university
Brown University,381,=73,https://www.topuniversities.com/universities/brown-university
Carnegie Mellon University,432,52,https://www.topuniversities.com/universities/carnegie-mellon-university
Case Western Reserve University,439,255,https://www.topuniversities.com/universities/case-western-reserve-university
Central Michigan University,454,1201-1400,https://www.topuniversities.com/universities/central-michigan-university
Clarkson University,483,791-800,https://www.topuniversities.com/universities/clarkson-university
Clark University,485,801-850,https://www.topuniversities.com/universities/clark-university
Clemson University,489,851-900,https://www.topuniversities.com/universities/clemson-university
Cleveland State University,492,1201-1400,https://www.topuniversities.com/universities/cleveland-state-university
Colorado School of Mines,525,=465,https://www.topuniversities.com/universities/colorado-school-mines
Colorado State University,526,409,https://www.topuniversities.com/universities/colorado-state-university
Columbia University,536,23,https://www.topuniversities.com/universities/columbia-university
Cornell University,557,13,https://www.topuniversities.com/universities/cornell-university
Dartmouth College,587,=237,https://www.topuniversities.com/universities/dartmouth-college
Drexel University,622,601-610,https://www.topuniversities.com/universities/drexel-university
Duke University,624,57,https://www.topuniversities.com/universities/duke-university
Emory University,669,=166,https://www.topuniversities.com/universities/emory-university
Florida International University,703,=556,https://www.topuniversities.com/universities/florida-international-university
Florida State University,711,=461,https://www.topuniversities.com/universities/florida-state-university
Fordham University,714,1001-1200,https://www.topuniversities.com/universities/fordham-university
Georgetown University,741,297,https://www.topuniversities.com/universities/georgetown-university
George Washington University,742,=340,https://www.topuniversities.com/universities/george-washington-university
Georgia Institute of Technology,746,97,https://www.topuniversities.com/universities/georgia-institute-technology
Georgia State University,751,851-900,https://www.topuniversities.com/universities/georgia-state-university
Harvard University,798,4,https://www.topuniversities.com/universities/harvard-university
Howard University,836,1001-1200,https://www.topuniversities.com/universities/howard-university
Illinois Institute of Technology,847,=469,https://www.topuniversities.com/universities/illinois-institute-technology
Illinois State University,848,1401+,https://www.topuniversities.com/universities/illinois-state-university
Indiana State University,851,1201-1400,https://www.topuniversities.com/universities/indiana-state-university
Johns Hopkins University,889,28,https://www.topuniversities.com/universities/johns-hopkins-university
Kansas State University,899,851-900,https://www.topuniversities.com/universities/kansas-state-university
Kent State University,905,1001-1200,https://www.topuniversities.com/universities/kent-state-university
Lebanese American University,946,661-670,https://www.topuniversities.com/universities/lebanese-american-university
Loyola University Chicago,987,901-950,https://www.topuniversities.com/universities/loyola-university-chicago
Marquette University,1013,1201-1400,https://www.topuniversities.com/universities/marquette-university
Michigan State University,1060,136,https://www.topuniversities.com/universities/michigan-state-university
Michigan Technological University,1061,851-900,https://www.topuniversities.com/universities/michigan-technological-university
Mississippi State University,1087,1001-1200,https://www.topuniversities.com/universities/mississippi-state-university
Missouri University of Science and Technology,1093,480,https://www.topuniversities.com/universities/missouri-university-science-technology
The New School,1156,641-650,https://www.topuniversities.com/universities/new-school
North Carolina State University,1168,274,https://www.topuniversities.com/universities/north-carolina-state-university
Northeastern University,1175,=375,https://www.topuniversities.com/universities/northeastern-university
Northern Arizona University,1176,1001-1200,https://www.topuniversities.com/universities/northern-arizona-university
Northwestern University,1193,=47,https://www.topuniversities.com/universities/northwestern-university
Nova Southeastern University,1203,1201-1400,https://www.topuniversities.com/universities/nova-southeastern-university
The Ohio State University,1216,=151,https://www.topuniversities.com/universities/ohio-state-university
Ohio University,1217,1001-1200,https://www.topuniversities.com/universities/ohio-university
Oklahoma State University,1223,851-900,https://www.topuniversities.com/universities/oklahoma-state-university
Oregon State University,1233,=505,https://www.topuniversities.com/universities/oregon-state-university
Princeton University,1294,=17,https://www.topuniversities.com/universities/princeton-university
Rensselaer Polytechnic Institute,1322,=494,https://www.topuniversities.com/universities/rensselaer-polytechnic-institute
Rice University,1328,=145,https://www.topuniversities.com/universities/rice-university
Saint Louis University,1367,901-950,https://www.topuniversities.com/universities/saint-louis-university
San Diego State University,1388,1001-1200,https://www.topuniversities.com/universities/san-diego-state-university
San Francisco State University,1390,1201-1400,https://www.topuniversities.com/universities/san-francisco-state-university
Seattle University,1408,1201-1400,https://www.topuniversities.com/universities/seattle-university
Southern Methodist University,1455,1001-1200,https://www.topuniversities.com/universities/southern-methodist-university
Stanford University,1488,5,https://www.topuniversities.com/universities/stanford-university
Swarthmore College,1557,741-750,https://www.topuniversities.com/universities/swarthmore-college
Syracuse University,1559,781-790,https://www.topuniversities.com/universities/syracuse-university
Temple University,1566,721-730,https://www.topuniversities.com/universities/temple-university
Texas A&M University,1571,=134,https://www.topuniversities.com/universities/texas-am-university
Texas Tech University,1582,801-850,https://www.topuniversities.com/universities/texas-tech-university
Tufts University,1616,379,https://www.topuniversities.com/universities/tufts-university
Tulane University,1617,=600,https://www.topuniversities.com/universities/tulane-university
The University of Alabama,1648,951-1000,https://www.topuniversities.com/universities/university-alabama
University of Alabama at Birmingham,1649,901-950,https://www.topuniversities.com/universities/university-alabama-birmingham
"University of California, Davis",1665,=118,https://www.topuniversities.com/universities/university-california-davis
"University of California, Irvine",1666,=268,https://www.topuniversities.com/universities/university-california-irvine
"University of California, Riverside",1669,=404,https://www.topuniversities.com/universities/university-california-riverside
"University of California, Santa Cruz",1672,=332,https://www.topuniversities.com/universities/university-california-santa-cruz
University of Central Florida,1674,=593,https://www.topuniversities.com/universities/university-central-florida
University of Central Oklahoma,1676,1201-1400,https://www.topuniversities.com/universities/university-central-oklahoma
University of Chicago,1678,11,https://www.topuniversities.com/universities/university-chicago
University of Cincinnati,1679,691-700,https://www.topuniversities.com/universities/university-cincinnati
University of Colorado Boulder,1681,=264,https://www.topuniversities.com/universities/university-colorado-boulder
University of Connecticut,1684,=444,https://www.topuniversities.com/universities/university-connecticut
University of Delaware,1687,=498,https://www.topuniversities.com/universities/university-delaware
University of Denver,1688,901-950,https://www.topuniversities.com/universities/university-denver1
University of Florida,1693,168,https://www.topuniversities.com/universities/university-florida
University of Houston,1703,641-650,https://www.topuniversities.com/universities/university-houston
University of Idaho,1707,1001-1200,https://www.topuniversities.com/universities/university-idaho
University of Iowa,1712,=491,https://www.topuniversities.com/universities/university-iowa
University of Kansas,1714,=410,https://www.topuniversities.com/universities/university-kansas
University of Kentucky,1715,681-690,https://www.topuniversities.com/universities/university-kentucky
"University of Maryland, Baltimore County",1729,711-720,https://www.topuniversities.com/universities/university-maryland-baltimore-county
"University of Maryland, College Park",1730,=169,https://www.topuniversities.com/universities/university-maryland-college-park
University of Memphis,1738,1201-1400,https://www.topuniversities.com/universities/university-memphis
University of Miami,1739,=278,https://www.topuniversities.com/universities/university-miami
University of Mississippi,1747,1001-1200,https://www.topuniversities.com/universities/university-mississippi
University of New Hampshire,1764,1001-1200,https://www.topuniversities.com/universities/university-new-hampshire
University of New Mexico,1767,631-640,https://www.topuniversities.com/universities/university-new-mexico
University of North Carolina at Chapel Hill,1771,=132,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
University of North Carolina at Greensboro,1772,1201-1400,https://www.topuniversities.com/universities/university-north-carolina-greensboro
University of North Texas,1782,1001-1200,https://www.topuniversities.com/universities/university-north-texas
University of Notre Dame,1786,=304,https://www.topuniversities.com/universities/university-notre-dame
University of Oklahoma,1787,641-650,https://www.topuniversities.com/universities/university-oklahoma
University of Pennsylvania,1791,12,https://www.topuniversities.com/universities/university-pennsylvania
University of Pittsburgh,1793,=222,https://www.topuniversities.com/universities/university-pittsburgh
University of Rhode Island,1810,1001-1200,https://www.topuniversities.com/universities/university-rhode-island
University of Rochester,1813,224,https://www.topuniversities.com/universities/university-rochester
University of San Diego,1818,1201-1400,https://www.topuniversities.com/universities/university-san-diego
University of San Francisco,1819,1001-1200,https://www.topuniversities.com/universities/university-san-francisco
University of South Carolina,1825,=575,https://www.topuniversities.com/universities/university-south-carolina
University of Southern California,1830,116,https://www.topuniversities.com/universities/university-southern-california
University of South Florida,1834,=563,https://www.topuniversities.com/universities/university-south-florida
The University of Texas at Arlington,1844,1001-1200,https://www.topuniversities.com/universities/university-texas-arlington
University of Texas at Austin,1845,58,https://www.topuniversities.com/universities/university-texas-austin
