,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
0,798,Harvard University,Harvard University,1,https://www.shanghairanking.com/institution/harvard-university
1,1488,Stanford University,Stanford University,2,https://www.shanghairanking.com/institution/stanford-university
2,1027,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,3,https://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit
3,1664,"University of California, Berkeley","University of California, Berkeley",5,https://www.shanghairanking.com/institution/university-of-california-berkeley
4,1294,Princeton University,Princeton University,6,https://www.shanghairanking.com/institution/princeton-university
5,536,Columbia University,Columbia University,8,https://www.shanghairanking.com/institution/columbia-university
6,397,California Institute of Technology,California Institute of Technology,9,https://www.shanghairanking.com/institution/california-institute-of-technology
7,1678,University of Chicago,University of Chicago,10,https://www.shanghairanking.com/institution/university-of-chicago
8,2021,Yale University,Yale University,11,https://www.shanghairanking.com/institution/yale-university
9,557,Cornell University,Cornell University,12,https://www.shanghairanking.com/institution/cornell-university
10,1667,"University of California, Los Angeles","University of California, Los Angeles",13,https://www.shanghairanking.com/institution/university-of-california-los-angeles
11,468,University of Pennsylvania,Cheyney University of Pennsylvania,14,https://www.shanghairanking.com/institution/university-of-pennsylvania
20,889,Johns Hopkins University,Johns Hopkins University,16,https://www.shanghairanking.com/institution/johns-hopkins-university
21,1873,University of Washington,University of Washington,18,https://www.shanghairanking.com/institution/university-of-washington
24,1670,"University of California, San Diego","University of California, San Diego",19,https://www.shanghairanking.com/institution/university-of-california-san-diego
25,1939,Washington University in St. Louis,Washington University in St. Louis,25,https://www.shanghairanking.com/institution/washington-university-in-st-louis
26,1160,New York University,New York University,28,https://www.shanghairanking.com/institution/new-york-university
28,917,Peking University,King University,29,https://www.shanghairanking.com/institution/peking-university
29,1193,Northwestern University,Northwestern University,30,https://www.shanghairanking.com/institution/northwestern-university
30,1771,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,31,https://www.shanghairanking.com/institution/university-of-north-carolina-at-chapel-hill
31,624,Duke University,Duke University,34,https://www.shanghairanking.com/institution/duke-university
32,1845,The University of Texas at Austin,University of Texas at Austin,43,https://www.shanghairanking.com/institution/the-university-of-texas-at-austin
33,1746,"University of Minnesota, Twin Cities","University of Minnesota, Twin Cities",44,https://www.shanghairanking.com/institution/university-of-minnesota-twin-cities
34,1726,"University of Maryland, College Park",University of Mary,50,https://www.shanghairanking.com/institution/university-of-maryland-college-park
36,1710,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,52,https://www.shanghairanking.com/institution/university-of-illinois-at-urbana-champaign
37,805,Heidelberg University,Heidelberg University,55,https://www.shanghairanking.com/institution/heidelberg-university
38,1830,University of Southern California,University of Southern California,58,https://www.shanghairanking.com/institution/university-of-southern-california
40,915,King's College London,King's College,59,https://www.shanghairanking.com/institution/kings-college-london
41,1671,"University of California, Santa Barbara","University of California, Santa Barbara",63,https://www.shanghairanking.com/institution/university-of-california-santa-barbara
42,1666,"University of California, Irvine","University of California, Irvine",65,https://www.shanghairanking.com/institution/university-of-california-irvine
43,1904,Vanderbilt University,Vanderbilt University,66,https://www.shanghairanking.com/institution/vanderbilt-university
44,1135,National University of Singapore,National University,71,https://www.shanghairanking.com/institution/national-university-of-singapore
45,1793,University of Pittsburgh,University of Pittsburgh,83,https://www.shanghairanking.com/institution/university-of-pittsburgh
49,1135,The Australian National University,National University,84,https://www.shanghairanking.com/institution/the-australian-national-university
50,1135,Seoul National University,National University,94,https://www.shanghairanking.com/institution/seoul-national-university
51,1468,Central South University,South University,95,https://www.shanghairanking.com/institution/central-south-university
52,381,Brown University,Brown University,98,https://www.shanghairanking.com/institution/brown-university
54,262,Arizona State University,Arizona State University,101-150,https://www.shanghairanking.com/institution/arizona-state-university
55,361,Boston University,Boston University,101-150,https://www.shanghairanking.com/institution/boston-university
56,432,Carnegie Mellon University,Carnegie Mellon University,101-150,https://www.shanghairanking.com/institution/carnegie-mellon-university
57,669,Emory University,Emory University,101-150,https://www.shanghairanking.com/institution/emory-university
58,1328,Rice University,Rice University,101-150,https://www.shanghairanking.com/institution/rice-university
59,1216,The Ohio State University - Columbus,The Ohio State University,101-150,https://www.shanghairanking.com/institution/the-ohio-state-university-columbus
60,1665,"University of California, Davis","University of California, Davis",101-150,https://www.shanghairanking.com/institution/university-of-california-davis
61,1693,University of Florida,University of Florida,101-150,https://www.shanghairanking.com/institution/university-of-florida
62,1868,University of Utah,University of Utah,101-150,https://www.shanghairanking.com/institution/university-of-utah
63,439,Case Western Reserve University,Case Western Reserve University,151-200,https://www.shanghairanking.com/institution/case-western-reserve-university
64,746,Georgia Institute of Technology,Georgia Institute of Technology,151-200,https://www.shanghairanking.com/institution/georgia-institute-of-technology
