,canada_id,arwu_name,canada_name,programs
0,1488,Stanford University,Stanford University,"['Aeronautics and Astronautics', 'African and African American Studies', 'American Studies', 'Anthropology', 'Archaeology', 'Architectural Design', 'Art', 'Asian American Studies', 'Atmosphere/Energy', 'Bioengineering', 'Biology', 'Biomechanical Engineering', 'Biomedical Computation', 'Chemical Engineering', 'Chemistry', 'Chicana/o Studies', 'Civil Engineering', 'Classics', 'Communication', 'Comparative Literature', 'Comparative Studies in Race & Ethnicity', 'Computer Science', 'Drama', 'Earth Systems', 'East Asian Languages', 'East Asian Studies', 'Economics', 'Electrical Engineering', 'Energy Resources Engineering', 'Engineering Physics', 'English', 'Engr. Geol. & Hydrogeology', 'Environmental Engineering', 'Feminist Studies', 'French and Italian', 'Geological & Environmental Sciences', 'Geophysics', 'German Studies', 'History', 'Human Biology', 'Iberian and Latin American Cultures', 'Individually Designed Major', 'International Relations', 'Jewish Studies (Individually Designed)', 'Linguistics', 'Management Science and Engineering', 'Material Science and Engineering', 'Mathematical & Computational Science', 'Mathematics', 'Mechanical Engineering', 'Music', 'Native American Studies', 'Philosophy and Literature', 'Philosophy and Religious Studies', 'Physics', 'Political Science', 'Product Design', 'Psychology', 'Public Policy', 'Religious Studies', 'Science, Technology, & Society (B.A.)', 'Science, Technology, & Society (B.S.)', 'Slavic Languages and Literatures', 'Sociology', 'Symbolic Systems', 'Urban Studies']"
1,1027,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,"['Aerospace Engineering', 'Aerospace Engineering with Information Technology', 'Anthropology', 'Archaeology and Materials', 'Art and Design', 'Biological Engineering', 'Biology', 'Brain and Cognitive Sciences', 'Chemical Engineering', 'Chemical-Biological Engineering', 'Chemistry', 'Civil Engineering', 'Civil and Environmental Engineering', 'Comparative Media Studies', 'Computer Science and Engineering', 'Earth, Atmospheric, and Planetary Sciences', 'Economics', 'Electrical Engineering and Computer Science', 'Electrical Science and Engineering', 'Engineering', 'Environmental Engineering Science', 'Foreign Languages and Literatures', 'History', 'Humanities', 'Humanities and Engineering', 'Humanities and Science', 'Linguistics and Philosophy', 'Literature', 'Management Science', 'Materials Science and Engineering', 'Mathematics', 'Mathematics with Computer Science', 'Mechanical Engineering', 'Mechanical and Ocean Engineering', 'Music', 'Nuclear Science and Engineering', 'Philosophy', 'Physics', 'Planning', 'Political Science', 'Science, Technology, and Society', 'Writing']"
2,1664,"University of California, Berkeley","University of California, Berkeley","['African American Studies, B.A.', 'American Studies, B.A.', 'Anthropology, B.A.', 'Architecture, B.A.', 'Art (History of), B.A.', 'Art (Practice of), B.A.', 'Asian American Studies, B.A.', 'Asian Studies, B.A.', 'Astrophysics, B.A.', 'Business Administration, B.S.', 'Celtic Studies, B.A.', 'Chemical Biology, B.S.', 'Chemical Engineering, B.S.', 'Chemistry, B.A. or B.S.', 'Chicano Studies, B.A.', 'Chinese Language, B.A.', 'Classical Civilizations, B.A.', 'Classical Languages, B.A.', 'Cognitive Science, B.A.', 'Comparative Literature, B.A.', 'Computer Science, B.A. or B.S.', 'Conservation and Resource Studies, B.S.', 'Dance and Performance Studies, B.A.', 'Development Studies, B.A.', 'Dutch Studies, B.A.', 'Earth and Planetary Science, B.A.', 'Economics, B.A.', 'Engineering, B.S.', 'English, B.A.', 'Environmental Economics and Policy, B.S.', 'Environmental Sciences, B.A., B.S.4', 'Ethnic Studies, B.A.', 'Film, B.A.', 'Forestry and Natural Resources, B.S.', 'French, B.A.', 'Gender and Women’s Studies, B.A.', 'Genetics and Plant Biology, B.S.', 'Geography, B.A.', 'German, B.A.', 'Greek, B.A.', 'History, B.A.', 'Integrative Biology, B.A.', 'Interdisciplinary Studies Field Major, B.A.', 'Italian Studies, B.A.', 'Japanese Language, B.A.', 'Landscape Architecture, B.A.', 'Latin American Studies, B.A.', 'Latin, B.A.', 'Legal Studies, B.A.', 'Linguistics, B.A.', 'Mathematics, Applied, B.A.', 'Mathematics, B.A.', 'Media Studies, B.A.', 'Microbial Biology, B.S.', 'Middle Eastern Studies, B.A.', 'Molecular Environmental Biology, B.S.', 'Molecular Toxicology, B.S.', 'Molecular and Cell Biology, B.A.', 'Music, B.A.', 'Native American Studies, B.A.', 'Near Eastern Studies, B.A.', 'Nutritional Science, B.S.', 'Operations Research and Management Science, B.A.', 'Peace and Conflict Studies, B.A.', 'Philosophy, B.A.', 'Physical Sciences Field Major, B.A.', 'Physics, B.A.', 'Political Economy, B.A.', 'Political Science, B.A.', 'Psychology, B.A.', 'Public Health, B.A.', 'Religious Studies, B.A.', 'Rhetoric, B.A.', 'Scandinavian, B.A. (Danish, Norwegian, Swedish)', 'Slavic Languages and Literatures, B.A.', 'Social Welfare, B.A.', 'Society and Environment, B.A.', 'Sociology, B.A.', 'South and Southeast Asian Studies, B.A.', 'Spanish, B.A.', 'Statistics, B.A.', 'Theater and Performance Studies, B.A.', 'Vision Science, B.S.5']"
3,1294,Princeton University,Princeton University,"['Anthropology', 'Architecture', 'Art and Archaeology', 'Astrophysical Sciences', 'Chemical and Biological Engineering', 'Chemistry', 'Civil and Environmental Engineering', 'Classics', 'Comparative Literature', 'Computer Science', 'East Asian Studies', 'Ecology and Evolutionary Biology', 'Economics', 'Electrical Engineering', 'English', 'French and Italian', 'Geosciences', 'German', 'History', 'Mathematics', 'Mechanical and Aerospace Engineering', 'Molecular Biology', 'Music', 'Near Eastern Studies', 'Operations Research and Financial Engineering', 'Philosophy', 'Physics', 'Politics', 'Psychology', 'Religion', 'Slavic Languages and Literatures', 'Sociology', 'Spanish and Portuguese Languages and Cultures', 'Woodrow Wilson School of Public and International Affairs']"
4,397,California Institute of Technology,California Institute of Technology,"['Applied Physics', 'Applied and Computational Mathematics', 'Astrophysics', 'Biochemistry', 'Bioengineering', 'Biology', 'Chemical Engineering', 'Chemical Physics', 'Computational and Neural Systems', 'Computer Science', 'Economics', 'Electrical Engineering', 'English', 'Environmental Science', 'Geobiology', 'Geochemistry', 'Geology', 'Geophysics', 'History', 'History and Philosophy of Science', 'Inorganic Chemistry', 'Materials Science', 'Mathematics', 'Mechanical Engineering', 'Organic Chemistry', 'Philosophy', 'Physics', 'Planetary Science', 'Political Science']"
5,1678,University of Chicago,University of Chicago,"['Anthropology', 'Art History', 'Biological Chemistry', 'Biological Sciences', 'Chemistry', 'Cinema and Media Studies', 'Civilization Studies', 'Classical Studies', 'Comparative Human Development', 'Comparative Literature', 'Comparative Race and Ethnic Studies', 'Computer Science', 'Early Christian Literature', 'East Asian Languages and Civilizations', 'Economics', 'English Language and Literature', 'Environmental Studies', 'Fundamentals Issues and Texts', 'Gender Studies', 'Geographical Studies', 'Geophysical Sciences', 'Germanic Studies', 'History', 'History, Philosophy, and Social Studies of Science and Medicine', 'Humanities', 'Interdisciplinary Studies in the Humanities', 'International Studies', 'Jewish Studies', 'Latin American Studies', 'Law, Letters, and Society', 'Linguistics', 'Mathematics', 'Medieval Studies', 'Music', 'Natural Sciences', 'Near Eastern Languages and Civilizations', 'Philosophy', 'Physical Sciences', 'Physics', 'Political Science', 'Psychology', 'Public Policy Studies', 'Religion and the Humanities', 'Religious Studies', 'Romance Languages and Literatures', 'Russian Studies', 'Slavic Languages and Literatures', 'Social Sciences', 'Sociology', 'South Asian Languages and Civilizations', 'Statistics', 'Theater and Performance Studies', 'Tutorial Studies', 'Visual Arts']"
6,2021,Yale University,Yale University,"['African American Studies (B.A.)', 'African Studies (B.A.)', 'American Studies (B.A.)', 'Anthropology (B.A.)', 'Applied Mathematics (B.A. or B.S.)', 'Applied Physics (B.S.)', 'Archaeological Studies (B.A.)', 'Architecture (B.A.)', 'Art (B.A.)', 'Astronomy (B.A.)', 'Astronomy and Physics (B.S.)', 'Biology (B.A. or B.S.)', 'Biomedical Engineering (B.S.)', 'Chemical Engineering (B.S.)', 'Chemistry (B.A. or B.S.)', 'Chinese (B.A.)', 'Classical Civilization (B.A.)', 'Classics (Greek and Latin) (B.A.)', 'Classics (Greek) (B.A.)', 'Classics (Latin) (B.A.)', 'Cognitive Science (B.A.)', 'Computer Science (B.A. or B.S.)', 'Computer Science and Mathematics (B.A. or B.S.)', 'Computer Science and Psychology (B.A.)', 'Computing and the Arts (B.A.)', 'East Asian Studies (B.A.)', 'Economics (B.A.)', 'Economics and Mathematics (B.A.)', 'Electrical Engineering (B.S.)', 'Electrical Engineering and Computer', 'Engineering', 'Engineering Sciences (Chemical) (B.S.)', 'Engineering Sciences (Electrical, Environmental, or Mechanical)(B.A. or B.S.)', 'English (B.A.)', 'Environmental Engineering (B.S.)', 'Environmental Studies (B.A.)', 'Ethics, Politics, and Economics (B.A.)', 'Ethnicity, Race, and Migration*', 'Film Studies (B.A.)', 'French (B.A.)', 'Geology and Geophysics (B.A. or B.S.)', 'German (B.A.)', 'German Studies (B.A.)', 'Global Affairs (B.A.)', 'Greek, Ancient and Modern (B.A.)', 'History (B.A.)', 'History of Art (B.A.)', 'History of Science, History of Medicine (B.A.)', 'Humanities (B.A.)', 'International Studies*', 'Italian (B.A.)', 'Japanese (B.A.)', 'Judaic Studies (B.A.)', 'Latin American Studies (B.A.)', 'Linguistics (B.A.)', 'Literature (B.A.)', 'Mathematics (B.A. or B.S.)', 'Mathematics and Philosophy (B.A.)', 'Mathematics and Physics (B.S.)', 'Mechanical Engineering (B.S.)', 'Modern Middle East Studies (B.A.)', 'Molecular Biophysics and Biochemistry (B.A. or B.S.)', 'Music (B.A.)', 'Near Eastern Languages and Civilizations (B.A.)', 'Philosophy (B.A.)', 'Physics (B.S.)', 'Physics and Philosophy (B.A.)', 'Political Science (B.A.)', 'Portuguese (B.A.)', 'Psychology (B.A. or B.S.)', 'Religious Studies (B.A.)', 'Russian (B.A.)', 'Russian and East European Studies (B.A.)', 'Science (B.S.)', 'Sexuality Studies (B.A.)', 'Sociology (B.A.)', 'South Asian Studies*', 'Spanish (B.A.)', 'Special Divisional Major (B.A. or B.S.)', 'Statistics (B.A. or B.S.)', 'Theater Studies (B.A.)', 'Women’s, Gender, and']"
7,557,Cornell University,Cornell University,"['Africana Studies', 'Agricultural Sciences', 'American Studies', 'Animal Science', 'Anthropology', 'Applied Economics and Management', 'Archaeology', 'Architecture', 'Asian Studies', 'Astronomy', 'Atmospheric Science', 'Biological Engineering', 'Biological Sciences', 'Biology and Society', 'Biometry and Statistics', 'Chemical Engineering', 'Chemistry and Chemical Biology', 'China and Asia-Pacific Studies', 'Civil Engineering', 'Classics (Greek, Latin)', 'Communication', 'Comparative Literature', 'Computer Science', 'Dance', 'Design and Environmental Analysis', 'Development Sociology', 'Economics', 'Education, Agricultural Sciences', 'Electrical and Computer Engineering', 'Engineering Physics', 'English', 'Entomology', 'Environmental Engineering', 'Feminist, Gender, and Sexuality Studies', 'Fiber Science and Apparel Design', 'Film', 'Fine Arts', 'Food Science', 'French', 'German Studies', 'Government', 'History', 'History of Architecture (transfer students only)', 'History of Art', 'Hotel Administration', 'Human Biology, Health and Society', 'Human Development', 'Industrial and Labor Relations', 'Information Science', 'International Agriculture and Rural Development', 'Italian', 'Landscape Architecture', 'Linguistics', 'Materials Science and Engineering', 'Mathematics', 'Mechanical Engineering', 'Music', 'Natural Resources', 'Near Eastern Studies', 'Nutritional Sciences', 'Operations Research and Information Engineering', 'Philosophy', 'Physics', 'Plant Sciences', 'Policy Analysis and Management', 'Psychology', 'Religious Studies', 'Science and Technology Studies', 'Science of Earth Systems', 'Science of Natural and Environmental Systems', 'Sociology', 'Spanish', 'Theatre Arts', 'Urban and Regional Studies', 'Viticulture and Enology']"
8,1667,"University of California, Los Angeles","University of California, Los Angeles","['Afro-American Studies (B.A.)', 'American Indian Studies (B.A.)', 'American Literature and Culture (B.A.)', 'Ancient Near Eastern Civilizations (B.A.)', 'Anthropology (B.A.)', 'Anthropology (B.S.)', 'Arabic (B.A.)', 'Art History (B.A.)', 'Asian American Studies (B.A.)', 'Asian Humanities (B.A.)', 'Asian Religions (B.A.)', 'Astrophysics (B.S.)', 'Atmospheric, Oceanic and Environmental Sciences (B.S.)', 'Biochemistry (B.S.)', 'Biology (B.S.)', 'Biophysics (B.S.)', 'Business Economics (B.A.)', 'Central and East European Languages and Cultures (B.A.)', 'Chemistry (B.S.)', 'Chemistry, General (B.S.)', 'Chemistry/Materials Science (B.S.)', 'Chicana and Chicano Studies (B.A.)', 'Chinese (B.A.)', 'Classical Civilization (B.A.)', 'Cognitive Science (B.S.)', 'Communication Studies (B.A.)', 'Comparative Literature (B.A.)', 'Computational and Systems Biology (B.S.)', 'Earth and Environmental Science (B.A.)', 'East Asian Studies (B.A.)', 'Ecology, Behavior, and Evolution (B.S.)', 'Economics (B.A.)', 'English (B.A.)', 'Environmental Science (B.S.)', 'European Studies (B.A.)', 'French (B.A.)', 'French and Linguistics (B.A.)', 'Geography (B.A.)', 'Geography/Environmental Studies (B.A.)', 'Geology (B.S.)', 'Geology/Engineering Geology (B.S.)', 'Geology/Paleobiology (B.S.)', 'Geophysics/Applied Geophysics (B.S.)', 'Geophysics/Geophysics and Space Physics (B.S.)', 'German (B.A.)', 'Global Studies (B.A.)', 'Greek (B.A.)', 'Greek and Latin (B.A.)', 'Hebrew (B.A.)', 'History (B.A.)', 'Human Biology and Society (B.A.)', 'Human Biology and Society (B.S.)', 'International Development Studies (B.A.)', 'Iranian Studies (B.A.)', 'Italian (B.A.)', 'Italian and Special Fields (B.A.)', 'Japanese (B.A.)', 'Jewish Studies (B.A.)', 'Korean (B.A.)', 'Latin (B.A.)', 'Latin American Studies (B.A.)', 'Linguistics (B.A.)', 'Linguistics and Anthropology (B.A.)', 'Linguistics and Asian Languages and Cultures (B.A.)', 'Linguistics and Computer Science (B.A.)', 'Linguistics and English (B.A.)', 'Linguistics and French (B.A.)', 'Linguistics and Italian (B.A.)', 'Linguistics and Philosophy (B.A.)', 'Linguistics and Psychology (B.A.)', 'Linguistics and Scandinavian Languages (B.A.)', 'Linguistics and Spanish (B.A.)', 'Marine Biology (B.S.)', 'Mathematics (B.S.)', 'Mathematics for Teaching (B.S.)', 'Mathematics of Computation (B.S.)', 'Mathematics, Applied (B.S.)', 'Mathematics/Applied Science (B.S.)', 'Mathematics/Atmospheric and Oceanic Sciences (B.S.)', 'Mathematics/Economics (B.S.)', 'Microbiology, Immunology, and Molecular Genetics (B.S.)', 'Middle Eastern and North African Studies (B.A.)', 'Molecular, Cell, and Developmental Biology (B.S.)', 'Music History (B.A.)', 'Neuroscience (B.S.)', 'Philosophy (B.A.)', 'Physics (B.A.)', 'Physics (B.S.)', 'Physiological Science (B.S.)', 'Political Science (B.A.)', 'Portuguese (B.A.)', 'Psychobiology (B.S.)', 'Psychology (B.A.)', 'Religion, Study of (B.A.)', 'Russian Language and Literature (B.A.)', 'Russian Studies (B.A.)', 'Scandinavian Languages and Cultures (B.A.)', 'Sociology (B.A.)', 'Southeast Asian Studies (B.A.)', 'Spanish (B.A.)', 'Spanish and Community and Culture (B.A.)', 'Spanish and Linguistics (B.A.)', 'Spanish and Portuguese (B.A.)', 'Statistics (B.S.)', ""Women's Studies (B.A.)""]"
9,468,University of Pennsylvania,Cheyney University of Pennsylvania,"['Accounting', 'Actuarial Science', 'African Studies', 'Africana Studies', 'Anthropology', 'Architecture', 'Asian American Studies (Minor)', 'Bachelor of Science in Nursing program', 'Biochemistry', 'Bioengineering', 'Biological Basis of Behavior', 'Biology', 'Biomedical Science', 'Biophysics', 'Business & Public Policy', 'Chemical and Biomolecular Engineering', 'Cinema Studies', 'Classical Studies', 'Cognitive Science', 'Communication', 'Comparative Literature', 'Computational Biology', 'Computer Engineering', 'Computer Science', 'Computer and Cognitive Science', 'Criminology', 'Digital Media Design', 'Earth Science', 'East Asian Area Studies', 'East Asian Languages and Civilizations', 'Economics', 'Electrical Engineering', 'Engineering', 'English', 'Environmental Policy & Management', 'Environmental Studies', 'Finance', 'Fine Arts', 'French Studies', ""Gender, Sexuality and Women's Studies"", 'Geology', 'German Studies', 'Global Analysis*', 'Health Care Management & Policy', 'Health and Societies', 'Hispanic Studies', 'History', 'History of Art', 'Individualized Major', 'Insurance & Risk Management', 'International Relations', 'International Studies and Business', 'Italian Studies', 'Jewish Studies', 'Latin American and Latino Studies', 'Legal Studies & Business Ethics*', 'Life Sciences and Management', 'Linguistics', 'Logic, Information and Computation', 'Management – Specializations in: Entrepreneurship and Innovation', 'Management – Specializations in: Multinational Management', 'Management – Specializations in: Organizational Effectiveness', 'Management – Specializations in: Strategic Management', 'Managing Electronic Commerce*', 'Market and Social Systems Engineering', 'Marketing', 'Marketing & Communication**', 'Marketing & Operations Management', 'Materials Science and Engineering', 'Mathematics', 'Mechanical Engineering and Applied Mechanics', 'Modern Middle East Studies', 'Music', 'Near Eastern Languages and Civilizations', 'Operations & Information Management', 'Philosophy', 'Philosophy, Politics, and Economics', 'Physics and Astronomy', 'Political Science', 'Psychology', 'Real Estate', 'Religious Studies', 'Retailing*', 'Romance Languages Dual Major', 'Science, Technology and Society', 'Social Impact and Responsibility*', 'Sociology', 'South Asia Studies', 'Spanish', 'Statistics', 'Systems Science and Engineering', 'Theatre Arts', 'Transportation', 'Urban Studies', 'Vagelos Scholars Program in Molecular Life Sciences', 'Visual Studies']"
