university_name,id_
Abilene Christian University,201
Abraham Baldwin Agricultural College,202
Academy of Art University,203
Adams State University,204
Adelphi University,205
Adrian College,206
AdventHealth University,207
Agnes Scott College,208
Alabama A&M University,209
Alabama State University,210
Alaska Pacific University,211
Albany College of Pharmacy and Health Sciences,212
Albany State University,213
Albertus Magnus College,214
Albion College,215
Albizu University,216
Albizu University--Miami,217
Albright College,218
Alcorn State University,219
Alderson Broaddus University,220
Alfred State College--SUNY,221
Alfred University,222
Alice Lloyd College,223
Allegheny College,224
Allen College,225
Allen University,226
Alliance University,227
Alliant International University,228
Alma College,229
Alpena Community College,230
Alvernia University,231
Alverno College,2080
American Academy of Art,233
American College of Thessaloniki,234
American International College,235
American Samoa Community College,236
American University,237
American University in Bulgaria,238
American University in Cairo,239
American University of Beirut,240
American University of Health Sciences,241
American University of Paris,242
American University of Puerto Rico--Bayamon,243
American University of Puerto Rico--Manati,244
AmeriTech College-Draper,245
Amherst College,246
Anderson University,247
Anderson University (IN),248
Andrew College,249
Andrews University,250
Angelo State University,251
Anna Maria College,252
Antelope Valley College,253
Antioch College,254
Appalachian Bible College,255
Appalachian State University,256
Aquinas College,257
Arcadia University,258
Arizona Christian University,259
Arizona College of Nursing--Las Vegas,260
Arizona College of Nursing--Tempe,261
Arizona State University,262
Arkansas Baptist College,263
Arkansas State University,264
Arkansas Tech University,265
Art Academy of Cincinnati,266
ArtCenter College of Design,267
Art Institute of Atlanta,268
Art Institute of Houston,269
Asbury University,270
Ashland University,271
Aspen University,272
Assumption University,273
Atenas College,274
Atlanta Metropolitan State College,275
Auburn University,276
Auburn University at Montgomery,277
Augsburg University,278
Augustana College,279
Augustana University,280
Augusta University,281
Aultman College of Nursing and Health Sciences,282
Aurora University,283
Austin College,284
Austin Community College District,285
Austin Peay State University,286
Ave Maria University,287
Averett University,288
Avila University,289
Azusa Pacific University,290
Babson College,291
Bacone College,292
Baker College,293
Bakersfield College,294
Baker University,295
Baldwin Wallace University,296
Ball State University,297
Baptist Bible College,298
Baptist College of Florida,299
Baptist Health Sciences University,300
Baptist Missionary Association Theological Seminary,301
Barclay College,302
Bard College,303
Bard College at Simon's Rock,304
Barnard College,305
Barry University,306
Barton College,307
Bates College,308
Bayamon Central University,309
Baylor University,310
Bay Path University,311
Bay State College,312
Beacon College,313
Belhaven University,314
Bellarmine University,315
Bellevue College,316
Bellevue University,317
Bellin College,318
Bellingham Technical College,319
Belmont Abbey College,320
Belmont University,321
Beloit College,322
Bemidji State University,323
Benedict College,324
Benedictine College,325
Benedictine University,326
Benjamin Franklin Institute of Technology,327
Bennett College,328
Bennington College,329
Bentley University,330
Berea College,331
Berkeley College (NJ),332
Berkeley College (NY),333
Berklee College of Music,334
Berry College,335
Bethany College (KS),336
Bethany College (WV),337
Bethany Lutheran College,338
Bethel College,339
Bethel University (IN),340
Bethel University (MN),341
Bethel University (TN),342
Bethune-Cookman University,343
Binghamton University--SUNY,344
Biola University,345
Birmingham-Southern College,346
Bismarck State College,347
Blackburn College,348
Black Hills State University,349
Blessing-Rieman College of Nursing and Health Sciences,350
Bluefield State University,351
Bluefield University,352
Blue Mountain Christian University,353
Bluffton University,354
Bob Jones University,355
Boise State University,356
Bon Secours Memorial College of Nursing,357
Boricua College,358
Boston Architectural College,359
Boston College,360
Boston University,361
Bowdoin College,362
Bowie State University,363
Bowling Green State University,364
Bradley University,365
Brandeis University,366
Brazosport College,367
Brenau University,368
Brescia University,369
Brevard College,370
Brewton-Parker College,371
Briar Cliff University,372
Bridgewater College,373
Bridgewater State University,374
Brigham Young University,375
Brigham Young University--Hawaii,376
Brigham Young University--Idaho,377
Brookline College--Albuquerque,378
Brookline College-Phoenix,379
Broward College,380
Brown University,381
