 id_,university_name,website,wikipedia
71,Algoma University,https://www.algomau.ca,https://en.wikipedia.org/wiki/Algoma_University
49,University of Toronto,https://www.utoronto.ca,https://en.wikipedia.org/wiki/University_of_Toronto
92,University of Calgary,https://www.ucalgary.ca,https://en.wikipedia.org/wiki/University_of_Calgary
1,Memorial University of Newfoundland,https://www.mun.ca,https://en.wikipedia.org/wiki/Memorial_University_of_Newfoundland
2,University of Prince Edward Island,https://www.upei.ca,https://en.wikipedia.org/wiki/University_of_Prince_Edward_Island
3,Acadia University,https://www2.acadiau.ca/,https://en.wikipedia.org/wiki/Acadia_University
4,Acadia Divinity College,https://acadiadiv.ca/,https://en.wikipedia.org/wiki/Acadia_Divinity_College
5,Atlantic School of Theology,https://www.astheology.ns.ca/,https://en.wikipedia.org/wiki/Atlantic_School_of_Theology
7,Dalhousie University,https://www.dal.ca,https://en.wikipedia.org/wiki/Dalhousie_University
8,University of King's College,https://www.ukings.ca,https://en.wikipedia.org/wiki/University_of_King%27s_College
9,Mount Saint Vincent University,https://www.msvu.ca,https://en.wikipedia.org/wiki/Mount_Saint_Vincent_University
10,Nova Scotia College of Art and Design University,https://nscad.ca,https://en.wikipedia.org/wiki/Nova_Scotia_College_of_Art_and_Design_University
11,Université Sainte-Anne,https://www.usainteanne.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_Sainte-Anne
12,St. Francis Xavier University,https://www.stfx.ca,https://en.wikipedia.org/wiki/St._Francis_Xavier_University
13,Saint Mary's University,https://www.smu.ca,https://en.wikipedia.org/wiki/Saint_Mary%27s_University_(Halifax)
14,Mount Allison University,https://www.mta.ca,https://en.wikipedia.org/wiki/Mount_Allison_University
15,University of New Brunswick,https://www.unb.ca,https://en.wikipedia.org/wiki/University_of_New_Brunswick
16,Université de Moncton,https://www.umoncton.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_de_Moncton
17,St. Thomas University,https://www.stu.ca,https://en.wikipedia.org/wiki/St._Thomas_University_(New_Brunswick)
19,McGill University,https://www.mcgill.ca,https://en.wikipedia.org/wiki/McGill_University
20,Université de Montréal,https://www.umontreal.ca/en/,https://en.wikipedia.org/wiki/Universit%C3%A9_de_Montr%C3%A9al
21,Polytechnique Montréal,https://www.polymtl.ca,https://en.wikipedia.org/wiki/Polytechnique_Montr%C3%A9al
22,École des hautes études commerciales,https://www.hec.ca/en,https://en.wikipedia.org/wiki/HEC_Montr%C3%A9al
23,Université Laval,https://www.ulaval.ca/en/,https://en.wikipedia.org/wiki/Universit%C3%A9_Laval
24,Université de Sherbrooke,https://www.usherbrooke.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_de_Sherbrooke
25,Concordia University,https://www.concordia.ca,https://en.wikipedia.org/wiki/Concordia_University
26,Université du Québec à Chicoutimi,https://www.uqac.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Chicoutimi
27,Université du Québec à Montréal,https://www.uqam.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Montr%C3%A9al
28,Université du Québec en Abitibi-Témiscamingue,https://www.uqat.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec_en_Abitibi-T%C3%A9miscamingue
29,Université du Québec à Trois-Rivières,https://www.uqtr.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Trois-Rivi%C3%A8res
30,Université du Québec en Outaouais,https://www.uqo.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_du_Qu%C3%A9bec_en_Outaouais
31,"Université du Québec, École nationale d'administration publique (ENAP)",https://www.enap.ca,https://en.wikipedia.org/wiki/%C3%89cole_nationale_d%27administration_publique
32,"Université du Québec, Institut national de la recherche scientifique",https://inrs.ca,https://en.wikipedia.org/wiki/Institut_national_de_la_recherche_scientifique
