university_name,rank,arwu_uni_link
Harvard University,1,https://www.shanghairanking.com/institution/harvard-university
Stanford University,2,https://www.shanghairanking.com/institution/stanford-university
Massachusetts Institute of Technology (MIT),3,https://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit
University of Cambridge,4,https://www.shanghairanking.com/institution/university-of-cambridge
"University of California, Berkeley",5,https://www.shanghairanking.com/institution/university-of-california-berkeley
Princeton University,6,https://www.shanghairanking.com/institution/princeton-university
University of Oxford,7,https://www.shanghairanking.com/institution/university-of-oxford
Columbia University,8,https://www.shanghairanking.com/institution/columbia-university
California Institute of Technology,9,https://www.shanghairanking.com/institution/california-institute-of-technology
University of Chicago,10,https://www.shanghairanking.com/institution/university-of-chicago
Yale University,11,https://www.shanghairanking.com/institution/yale-university
Cornell University,12,https://www.shanghairanking.com/institution/cornell-university
"University of California, Los Angeles",13,https://www.shanghairanking.com/institution/university-of-california-los-angeles
University of Pennsylvania,14,https://www.shanghairanking.com/institution/university-of-pennsylvania
Paris-Saclay University,15,https://www.shanghairanking.com/institution/paris-saclay-university
Johns Hopkins University,16,https://www.shanghairanking.com/institution/johns-hopkins-university
University College London,17,https://www.shanghairanking.com/institution/university-college-london
University of Washington,18,https://www.shanghairanking.com/institution/university-of-washington
"University of California, San Diego",19,https://www.shanghairanking.com/institution/university-of-california-san-diego
ETH Zurich,20,https://www.shanghairanking.com/institution/eth-zurich
"University of California, San Francisco",21,https://www.shanghairanking.com/institution/university-of-california-san-francisco
Tsinghua University,22,https://www.shanghairanking.com/institution/tsinghua-university
Imperial College London,23,https://www.shanghairanking.com/institution/imperial-college-london
University of Toronto,24,https://www.shanghairanking.com/institution/university-of-toronto
Washington University in St. Louis,25,https://www.shanghairanking.com/institution/washington-university-in-st-louis
University of Michigan-Ann Arbor,26,https://www.shanghairanking.com/institution/university-of-michigan-ann-arbor
The University of Tokyo,27,https://www.shanghairanking.com/institution/the-university-of-tokyo
New York University,28,https://www.shanghairanking.com/institution/new-york-university
Peking University,29,https://www.shanghairanking.com/institution/peking-university
Northwestern University,30,https://www.shanghairanking.com/institution/northwestern-university
University of North Carolina at Chapel Hill,31,https://www.shanghairanking.com/institution/university-of-north-carolina-at-chapel-hill
University of Copenhagen,32,https://www.shanghairanking.com/institution/university-of-copenhagen
Zhejiang University,33,https://www.shanghairanking.com/institution/zhejiang-university
Duke University,34,https://www.shanghairanking.com/institution/duke-university
The University of Melbourne,35,https://www.shanghairanking.com/institution/the-university-of-melbourne
University of Wisconsin - Madison,35,https://www.shanghairanking.com/institution/university-of-wisconsin-madison
Karolinska Institute,37,https://www.shanghairanking.com/institution/karolinska-institute
The University of Edinburgh,38,https://www.shanghairanking.com/institution/the-university-of-edinburgh
Kyoto University,39,https://www.shanghairanking.com/institution/kyoto-university
Rockefeller University,39,https://www.shanghairanking.com/institution/rockefeller-university
PSL University,41,https://www.shanghairanking.com/institution/psl-university
The University of Manchester,41,https://www.shanghairanking.com/institution/the-university-of-manchester
The University of Texas at Austin,43,https://www.shanghairanking.com/institution/the-university-of-texas-at-austin
University of British Columbia,44,https://www.shanghairanking.com/institution/university-of-british-columbia
"University of Minnesota, Twin Cities",44,https://www.shanghairanking.com/institution/university-of-minnesota-twin-cities
