,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
0,113,University of Toronto,Rotman School of Management - University of Toronto,24,https://www.shanghairanking.com/institution/university-of-toronto
3,204,New York University,York University,28,https://www.shanghairanking.com/institution/new-york-university
4,121,University of British Columbia,Sauder School of Business - University of British Columbia,44,https://www.shanghairanking.com/institution/university-of-british-columbia
7,38,McGill University,Desautels Faculty of Mangement - McGill University,70,https://www.shanghairanking.com/institution/mcgill-university
9,2,University of Alberta,Alberta Business School - University of Alberta,91,https://www.shanghairanking.com/institution/university-of-alberta
12,78,McMaster University,McMaster University,98,https://www.shanghairanking.com/institution/mcmaster-university
13,189,Université de Montréal,Université de Montréal (UdeM),151-200,https://www.shanghairanking.com/institution/university-of-montreal
14,181,University of Waterloo,University of Waterloo,151-200,https://www.shanghairanking.com/institution/university-of-waterloo
15,109,Queen's University,Queen's University,201-300,https://www.shanghairanking.com/institution/queens-university
16,158,The University of Calgary,University of Calgary,201-300,https://www.shanghairanking.com/institution/the-university-of-calgary
17,5,University of Manitoba,Asper School of Business - University of Manitoba,201-300,https://www.shanghairanking.com/institution/university-of-manitoba
20,142,University of Ottawa,Telfer School of Management - University of Ottawa,201-300,https://www.shanghairanking.com/institution/university-of-ottawa
23,35,Dalhousie University,Dalhousie University,301-400,https://www.shanghairanking.com/institution/dalhousie-university
26,109,Queen's University Belfast,Queen's University,301-400,https://www.shanghairanking.com/institution/queens-university-belfast
27,8,Simon Fraser University,Beedie School of Business - Simon Fraser University,301-400,https://www.shanghairanking.com/institution/simon-fraser-university
30,176,University of Saskatchewan,University of Saskatchewan (USask),301-400,https://www.shanghairanking.com/institution/university-of-saskatchewan
31,52,University of Victoria,Gustavson School of Business - University of Victoria,301-400,https://www.shanghairanking.com/institution/university-of-victoria
34,146,Western University,Trinity Western University,301-400,https://www.shanghairanking.com/institution/western-university
37,123,York University,Schulich School of Business - York University,401-500,https://www.shanghairanking.com/institution/york-university
39,21,Carleton University,Carleton University,501-600,https://www.shanghairanking.com/institution/carleton-university
40,30,Concordia University,Concordia University,501-600,https://www.shanghairanking.com/institution/concordia-university
42,162,University of Guelph,University of Guelph,501-600,https://www.shanghairanking.com/institution/university-of-guelph
43,80,Memorial University of Newfoundland,Memorial University of Newfoundland,701-800,https://www.shanghairanking.com/institution/memorial-university-of-newfoundland
45,145,Nottingham Trent University,Trent University,701-800,https://www.shanghairanking.com/institution/nottingham-trent-university
46,60,University of Regina,Kenneth Levene Graduate School of Business -University of Regina,701-800,https://www.shanghairanking.com/institution/university-of-regina
