university_name,rank,qs_uni_link
University of Oxford,1,https://www.timeshighereducation.com/world-university-rankings/university-oxford
Stanford University,2,https://www.timeshighereducation.com/world-university-rankings/stanford-university
Massachusetts Institute of Technology,3,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology
Harvard University,4,https://www.timeshighereducation.com/world-university-rankings/harvard-university
University of Cambridge,5,https://www.timeshighereducation.com/world-university-rankings/university-cambridge
Princeton University,6,https://www.timeshighereducation.com/world-university-rankings/princeton-university
California Institute of Technology,7,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology-caltech
Imperial College London,8,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london
"University of California, Berkeley",9,https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley
Yale University,10,https://www.timeshighereducation.com/world-university-rankings/yale-university
ETH Zurich,11,https://www.timeshighereducation.com/world-university-rankings/eth-zurich
Tsinghua University,12,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university
The University of Chicago,13,https://www.timeshighereducation.com/world-university-rankings/university-chicago
Peking University,14,https://www.timeshighereducation.com/world-university-rankings/peking-university
Johns Hopkins University,15,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university
University of Pennsylvania,16,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania
Columbia University,17,https://www.timeshighereducation.com/world-university-rankings/columbia-university
"University of California, Los Angeles",18,https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles
National University of Singapore,19,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore
Cornell University,20,https://www.timeshighereducation.com/world-university-rankings/cornell-university
University of Toronto,21,https://www.timeshighereducation.com/world-university-rankings/university-toronto
UCL,22,https://www.timeshighereducation.com/world-university-rankings/ucl
University of Michigan-Ann Arbor,23,https://www.timeshighereducation.com/world-university-rankings/university-michigan-ann-arbor
Carnegie Mellon University,24,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university
University of Washington,25,https://www.timeshighereducation.com/world-university-rankings/university-washington
Duke University,26,https://www.timeshighereducation.com/world-university-rankings/duke-university
New York University,27,https://www.timeshighereducation.com/world-university-rankings/new-york-university
Northwestern University,28,https://www.timeshighereducation.com/world-university-rankings/northwestern-university
The University of Tokyo,29,https://www.timeshighereducation.com/world-university-rankings/university-tokyo
University of Edinburgh,=30,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh
Technical University of Munich,=30,https://www.timeshighereducation.com/world-university-rankings/technical-university-munich
"Nanyang Technological University, Singapore",32,https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university-singapore
École Polytechnique Fédérale de Lausanne,33,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique-federale-de-lausanne
