,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
0,963,Harvard University,Harvard University,1,https://www.shanghairanking.com/institution/harvard-university
1,478,Stanford University,Stanford University,2,https://www.shanghairanking.com/institution/stanford-university
2,976,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,3,https://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit
3,496,"University of California, Berkeley",University of California,5,https://www.shanghairanking.com/institution/university-of-california-berkeley
4,1360,Princeton University,Princeton University,6,https://www.shanghairanking.com/institution/princeton-university
5,1415,Columbia University,Columbia University in the City of New York,8,https://www.shanghairanking.com/institution/columbia-university
6,315,California Institute of Technology,California Institute of Technology,9,https://www.shanghairanking.com/institution/california-institute-of-technology
7,753,University of Chicago,The University of Chicago Booth School of Business,10,https://www.shanghairanking.com/institution/university-of-chicago
9,569,Yale University,Yale University,11,https://www.shanghairanking.com/institution/yale-university
10,1418,Cornell University,Cornell University,12,https://www.shanghairanking.com/institution/cornell-university
11,496,"University of California, Los Angeles",University of California,13,https://www.shanghairanking.com/institution/university-of-california-los-angeles
12,1654,University of Pennsylvania,California University of Pennsylvania,14,https://www.shanghairanking.com/institution/university-of-pennsylvania
16,1025,Johns Hopkins University,Johns Hopkins University,16,https://www.shanghairanking.com/institution/johns-hopkins-university
17,2079,University of Washington,University of Washington,18,https://www.shanghairanking.com/institution/university-of-washington
19,496,"University of California, San Diego",University of California,19,https://www.shanghairanking.com/institution/university-of-california-san-diego
20,496,"University of California, San Francisco",University of California,21,https://www.shanghairanking.com/institution/university-of-california-san-francisco
21,1110,University of Michigan-Ann Arbor,University of Michigan,26,https://www.shanghairanking.com/institution/university-of-michigan-ann-arbor
22,1476,New York University,New York University,28,https://www.shanghairanking.com/institution/new-york-university
23,1848,Peking University,King University,29,https://www.shanghairanking.com/institution/peking-university
24,801,Northwestern University,Northwestern University,30,https://www.shanghairanking.com/institution/northwestern-university
25,1266,University of North Carolina at Chapel Hill,University of North Carolina,31,https://www.shanghairanking.com/institution/university-of-north-carolina-at-chapel-hill
27,1243,Duke University,Duke University,34,https://www.shanghairanking.com/institution/duke-university
28,1948,The University of Texas at Austin,University of Texas at Austin,43,https://www.shanghairanking.com/institution/the-university-of-texas-at-austin
29,1151,"University of Minnesota, Twin Cities",University of Minnesota,44,https://www.shanghairanking.com/institution/university-of-minnesota-twin-cities
30,1955,The University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center,48,https://www.shanghairanking.com/institution/the-university-of-texas-southwestern-medical-center-at-dallas
31,1042,"University of Maryland, College Park",University of Maryland,50,https://www.shanghairanking.com/institution/university-of-maryland-college-park
