university_name,rank,uni_link
University of Toronto,18,https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
University of British Columbia,35,https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
McGill University,54,https://www.usnews.com/education/best-global-universities/mcgill-university-499986
University of Alberta,136,https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
McMaster University,138,https://www.usnews.com/education/best-global-universities/mcmaster-university-502196
Universite de Montreal,156,https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159
University of Calgary,175,https://www.usnews.com/education/best-global-universities/university-of-calgary-499975
University of Waterloo,191,https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
University of Ottawa,215,https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
Western University (University of Western Ontario),300,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
Dalhousie University,314,https://www.usnews.com/education/best-global-universities/dalhousie-university-499990
Simon Fraser University,317,https://www.usnews.com/education/best-global-universities/simon-fraser-university-499981
niversity of Victoria,324,https://www.usnews.com/education/best-global-universities/university-of-victoria-499967
University of Manitoba,372,https://www.usnews.com/education/best-global-universities/university-of-manitoba-503954
Laval University,397,https://www.usnews.com/education/best-global-universities/laval-university-505699
York University - Canada,426,https://www.usnews.com/education/best-global-universities/york-university-canada-499962
Queens University - Canada,429,https://www.usnews.com/education/best-global-universities/queens-university-canada-500946
University of Saskatchewan,441,https://www.usnews.com/education/best-global-universities/university-of-saskatchewan-499969
University of Guelph,497,https://www.usnews.com/education/best-global-universities/university-of-guelph-499974
Carleton University,526,https://www.usnews.com/education/best-global-universities/carleton-university-499991
Concordia University - Canada,653,https://www.usnews.com/education/best-global-universities/concordia-university-canada-499961
Memorial University Newfoundland,698,https://www.usnews.com/education/best-global-universities/memorial-university-newfoundland-499985
University of Quebec Montreal,745,https://www.usnews.com/education/best-global-universities/university-of-quebec-montreal-504868
University of Sherbrooke,789,https://www.usnews.com/education/best-global-universities/university-of-sherbrooke-506839
University of Regina,935,https://www.usnews.com/education/best-global-universities/university-of-regina-499970
University of New Brunswick,948,https://www.usnews.com/education/best-global-universities/university-of-new-brunswick-499973
Ontario Tech University,1121,https://www.usnews.com/education/best-global-universities/ontario-tech-university-529067
University of Windsor,1121,https://www.usnews.com/education/best-global-universities/university-of-windsor-499964
Wilfrid Laurier University,1271,https://www.usnews.com/education/best-global-universities/wilfrid-laurier-university-529247
Lakehead University,1291,https://www.usnews.com/education/best-global-universities/lakehead-university-529172
Ecole de Technologie Superieure - Canada,1338,https://www.usnews.com/education/best-global-universities/ecole-de-technologie-superieure-canada-529339
Brock University,1394,https://www.usnews.com/education/best-global-universities/brock-university-499992
Laurentian University,1405,https://www.usnews.com/education/best-global-universities/laurentian-university-529599
Toronto Metropolitan University,1452,https://www.usnews.com/education/best-global-universities/toronto-metropolitan-university-499982
Trent University,1570,https://www.usnews.com/education/best-global-universities/trent-university-499979
University of Quebec Trois Rivieres,1603,https://www.usnews.com/education/best-global-universities/university-of-quebec-trois-rivieres-529999
University of Lethbridge,1741,https://www.usnews.com/education/best-global-universities/university-of-lethbridge-529030
Northern Ontario School of Medicine,,https://www.usnews.com/education/best-global-universities/northern-ontario-school-of-medicine-529914
University of Prince Edward Island,,https://www.usnews.com/education/best-global-universities/university-of-prince-edward-island-499971
